ECU,DTC Code,DTC Description,Total Occurrences
BCM Hella,NO DTC PRESENT,Switches Not Pressed Routine Status Read Failed,561.0
ESP/ABS,NO DTC PRESENT,Fill in Process Byte NOK,502.0
BCM Hella,NO DTC PRESENT,PDC Sensor Calibration Failed,403.0
BCM Hella,NO DTC PRESENT,Input Switch Test Routine Status Read Failed,218.0
BCM Hella,NO DTC PRESENT,VEHICLE NOT SHIFTED IN REVERSE GEAR WITHIN A SPECIFTC TIME,193.0
EMS/TCU,NO DTC PRESENT,Accelarator Test Failed,162.0
BCM Hella/EMS Bosch,NO DTC PRESENT,ECU Start Diagnostics Failed,155.0
BCM Hella,NO DTC PRESENT,Number of Key Paired Status Reading Failed,153.0
IHU,B1C0E13,Microphone Signal Input circuit open,144.0
BCM Hella,B164405,No Transponder Key Pairing Done – System Programming Failures,139.0
BCM Hella,B224C1D,Right Turn Indicator Partial bulb out Either Front Right or Rear Right Turn indicator bulb is open circuit,136.0
BCM Hella,B165105,Partial Transponder Key Pairing Done - System Programming Failures,135.0
VECU Bosch 1.0,P30B816,AC Linear Pressure Sensor value input to VECU - circuit voltage below threshold,133.0
BCM Hella,B22291D,Left Turn Indicator Partial bulb out. EitherForant Left Or Rear Left Turn Indicator bulb is open Circuit,113.0
VECU Bosch 1.0,P301F13,PDU HVIL Sense PWM circuit open,105.0
VECU Bosch 1.0,NO DTC PRESENT,Drive Mode Switch Status NOK,104.0
VECU Bosch 1.0,P30AA68,DCDC Fault CAN signal received by VECU event information,90.0
VECU Bosch 1.0,P302613,Battery cooling chiller solenoid valve activation line - circuit open,88.0
TCU Magnetti,NO DTC PRESENT,Before power latch universal clear DTC failed,86.0
BCM Hella,B192D15,Buzzer output line DTC – Circuit short to Battery or Open,85.0
VECU Bosch 1.0,P301E13,Vehicle HVIL Sense PWM circuit open,80.0
FATC BEHR Falcon4,B1F3D54,Air distribution Drive Motor Missing Calibration,80.0
IHU Visteon MID,B1C5913,AM/FM/DRM/DAB Antenna signal-circuit open,76.0
EPAS MANDO PV,C132900,Tuning set variant is not selected,76.0
FATC BEHR Falcon4,B1F3F54,Fresh Air/Recirc dive motor missing calibration,74.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,Brake Pedal Test Failed,69.0
TCU Magnetti Marreili Nano,P290502,Gear Box Engage Faild,68.0
PEPS Marquardt Osprey,B164554,PEPS ECU missing callibration,67.0
EMS Bosch XETA Cube Falcon4,U015131,Air bag system the error is reported when the CAN msg SRS is not received within the time duration-No signal,67.0
BCM Hella,U100816,Control module input power 1 circuit voltage below threshold,66.0
FATC BEHR Falcon4,B1F3E54,Air temprature drive motor missing calibration,65.0
IPC Pricol PV,U015108,Lost communication with restraints Control Module(SRS) Bus Signal/Message failures,64.0
IHU Visteon MID,B1C4B13,LVDC connection circuit open,63.0
FATC BEHR Falcon4,U010008,"Lost of communication with ECM/PCM""A""-Bus Signal/Message Failure",62.0
AirBag Bosch AB12,B00011A,Driver Airbag Deployment Control - circuit resistance below threshold,62.0
FATC BEHR Falcon4,B1F3E54,Driver Side Temperature Door Control Motor Calibration Fault,59.0
BCM Hella,B220415,Combined High Beam Circuit short to Battery or open,58.0
BCM Hella,U130E08,Lost Communication with Rain Light Sensor (RLS) - Bus signal/Message Failure,58.0
EMS Bosch,P009013,Description not available,58.0
IHU Visteon MID,B1C0413,GPS Signal Circuit Open,56.0
IPC Pricol PV,NO DTC PRESENT,VC No Parameter Reading Failed,53.0
TCU Magnetti Marreili Nano,P071003,External temprature signal not valid,47.0
IPC Pricol PV,B190B15,Ambient Air Temperature Sensor input circuit short to Battery or open,46.0
AirBag Bosch AB12,B00201B,Side airbag front LH& RH deployment control circuit resistance above threshold,45.0
EMS Bosch,P051305,Incorrect Immobilizer Key system Programming Failures,44.0
VECU Bosch 1.0,P302813,Cabin cooling Evaporator solenoid valve activation line - circuit open,44.0
FATC BEHR Falcon4,B1F1B15,Solar radiation sensor signal-circuit short to battery or open,42.0
VECU Bosch 1.0,P304063,Vaccum Pump - circuit / component protection time-out,41.0
PEPS Marquardt Osprey,B132013,Drive signal for Back Antenna- circuit open,40.0
AirBag Bosch AB12,B00211B,inflatable curtain airbag RH & LH deployment control 1 circuit resistance above,39.0
TCU Magnetti Marreili Nano,P082002,Gear lever sensors open circuit or S.C to vsupply,39.0
EMS Bosch,NO DTC PRESENT,ECU VIN NUMBER MISMATCH,37.0
AirBag Bosch AB12,B100C13,Left side Right Periphenal sensor circuit open,37.0
FATC BEHR Falcon4,NO DTC PRESENT,Actuator Motor Calibration Routine Failed,35.0
Telematics Bosch PV,NO DTC PRESENT,Failed due to unsuccsssful flashing,35.0
FATC BEHR Falcon4,B1F1F15,Driver Side Air Temperature Feedback Signal - Circuit Short to Battery or Open,33.0
EMS Bosch XETA Cube Falcon4,P302664,Invalid Data received from TCM signal,33.0
VECU Bosch 1.0,P301414,Vaccum Pressure Sensor Circuit Short to ground Or Open,33.0
FATC BEHR Falcon4,B1F2315,Evaporator temprature sensor signal circuit short to battery open,32.0
AirBag Bosch AB12,NO DTC PRESENT,ECU communication failed,32.0
IPC Pricol PV/FATC,U040181,Invalid Data Received From Engine Control Module - invalid serial data received,31.0
EMS Bosch XETA Cube Falcon4,NO DTC PRESENT,IBS Not Learnt,31.0
FATC BEHR Falcon4,B1F1F15,Air Temprature Feedback Signal-Circuit short to Battery Or Open,31.0
AirBag Bosch AB12,B100E13,Frontal  Impact Left sensor - Circuit open,30.0
ABS Bosch 9.3,C003714,Rear left wheel speed sensor open/short to GND,29.0
BCM Hella,C004012,Brake Pedal Test Failed,29.0
VECU Bosch 1.0,P30B415,AC Charging Inlet Temperature Sensor on line Connection circuit Short to Battery or Open,28.0
AirBag Bosch AB12,B00721B,Passenger retractor pretensioner deployment control circuit resistance above threshold,28.0
EPAS MANDO PV,NO DTC PRESENT,ECU Communication Failed,28.0
IHU Harman,B1C4B13,LVDS connector circuit open,27.0
FATC BEHR Falcon4,NO DTC PRESENT,Before power latch universal clear DTC failed,27.0
Telematics Bosch PV,NO DTC PRESENT,ECU Communication Failed,27.0
VECU Bosch 1.0,U016408,AC and heater function is affected(HVAC CAN messages are not received at VECU),26.0
EPAS MANDO PV,NO DTC PRESENT,Before power latch universal clear DTC failed,26.0
EMS Bosch XETA Cube Falcon4,U132408,Diagonastic fault check for IBS node time out,26.0
AirBag Bosch AB12,B10361B,High Voltage Battery Disconnect Deployment Control Circui Resistance above threshold,26.0
EMS Bosch XETA Cube Falcon4,P302664,Eng stop req PlausErr of CAN received frame TCU - signal plausibility failure,26.0
VECU Bosch 1.0,NO DTC PRESENT,OBC Wake Up Command Writing failed,25.0
AirBag Bosch AB12,B104452,ECU Flring Disabled - Not Activated,23.0
BCM Hella,B226709,Emergency HW path failure- component Failures,23.0
FATC BEHR Falcon4,B1F5615,PTC Temprature Sensor Signal Circuit Short To Battery Open,22.0
BCM Hella,B163906,Module ECM/PCM & BCM handshake failed - Algorithm Based Failures,22.0
ABS Bosch 9.3,C003414,Front Right Wheel Speed Sensor Open / Short to ground,22.0
AirBag Bosch AB12,B00701B,Driver retractor pretensioner deployment control circuit resistance above threshold,21.0
IPC Pricol PV,NO DTC PRESENT,Parameter part number for Instrument cluster parameter reading failed,21.0
AirBag Bosch AB12,B00d514,Restraint system passenger airbag indicator circuit short to ground,20.0
IHU Visteon MID,U015908,Lost communication With Parking Assist Control Module A bus signal / message Failure,20.0
IHU Harman,B1C2013,Steering wheel Controls Parameter reading failed,20.0
Telematics MMI 1.0,NO DTC PRESENT,ECU Communication Failed,19.0
AirBag Bosch AB12,B101014,Front Deployment crash no sub type information,19.0
AirBag Bosch AB12,B100B12,Passenger Deactivation switch Circuit short to battery,18.0
AirBag Bosch AB12,B10341B,Invalid CAN node selection,18.0
AirBag Bosch AB12,B00041B,Driver Knee Airbag Deplyment Control Circuit Resistance Above Threshold,17.0
EMS Bosch XETA Cube Falcon4,P044413,Evaporator Emission system Purge Control valve circuit open,17.0
FATC BEHR Falcon4,NO DTC PRESENT,Start Actuator Motor Calibration Routine Failed,17.0
IHU Harman,NO DTC PRESENT,Before power latch universal clear DTC failed,17.0
VECU Bosch 1.0,NO DTC PRESENT,"Neutral Reading Failed,Drive Reading Failed",16.0
ABS Bosch 9.3,C003712,Left rear wheel speed sensor circuit short to Battery,16.0
EMS Bosch XETA Cube Falcon4,U016431,Lost communication nwith Hvac Control module no signal,16.0
EMS Bosch XETA Cube Falcon4,P051305,Incorrect Immobilizer Key system Programming Failures,16.0
BCM Hella,NO DTC PRESENT,Read  DTC failed,16.0
VECU Bosch 1.0,P30B615,AC Charging Inlet temperature Sensor on Netural connection circuit short to battery or open,16.0
AirBag Bosch AB12,B10351B,Passenger Seat Belt Anchor Pretensioner Deployment Control Circuit Resistance Above Threshold,15.0
VECU Bosch 1.0,P302D86,HV Battery Cooling Pump -Low fluid level,15.0
